month,item,qty,revenue_rm
2025-08,"Almond Crepe Cake",13,219.70
2025-08,"Almond Croissant",6,89.40
2025-08,"Berry Berries",6,39.60
2025-08,"Black",43,292.10
2025-08,"Burnt Cheesecake",22,371.80
2025-08,"Buttercream Chocolate",25,317.37
2025-08,"Buttercream Latte",79,1056.45
2025-08,"Cappucino",3,36.70
2025-08,"Caramel Latte",26,350.50
2025-08,"Caramel Latte (Bottle)",9,116.10
2025-08,"Caramel Macchiato",23,277.32
2025-08,"Chocolate",25,315.70
2025-08,"Chocolate (Bottle)",9,116.10
2025-08,"Chocolate Mudslide",37,625.30
2025-08,"Citrus Iced Lemon Tea",3,23.80
2025-08,"Citrus Mojito",6,24.75
2025-08,"Classic Croissant",6,59.40
2025-08,"Classic Latte (Bottle)",13,167.70
2025-08,"Dirty Latte",16,208.50
2025-08,"Doppio Freddo",11,111.20
2025-08,"Earl Grey",2,18.82
2025-08,"Egg Sando",12,120.80
2025-08,"Half Boiled Eggs",6,22.05
2025-08,"Hazelnut Latte",16,181.70
2025-08,"Latte",71,684.22
2025-08,"Matcha",23,277.00
2025-08,"Matcha (Bottle)",1,12.90
2025-08,"Matcha Cream Latte",20,260.75
2025-08,"Mineral Water",20,60.00
2025-08,"Mini Biscoff (3 pcs)",2,20.85
2025-08,"Mini Choc Chip No Nuts (3 pcs)",2,27.80
2025-08,"Mini Double Choc (3 pcs)",1,13.90
2025-08,"Mini Matcha Macademia (3 pcs)",1,13.90
2025-08,"Mini Red Velvet (3 pcs)",3,41.70
2025-08,"Mint Chocolate",11,96.30
2025-08,"Mint Matcha",10,145.00
2025-08,"Mocha",9,96.30
2025-08,"Mocha (Bottle)",16,206.40
2025-08,"NYC Double Choc Dulcey",4,55.60
2025-08,"NYC Hazelut Seasalt",2,27.80
2025-08,"NYC Red Velvet Biscoff",2,27.80
2025-08,"NYC Smores",2,27.80
2025-08,"Peanut Butter Mocha",11,160.90
2025-08,"Peppermint",5,31.70
2025-08,"Piccolo",14,136.25
2025-08,"Roti Bakar Brioche",30,207.00
2025-08,"Roti Bakar Brioche with Half Boiled Eggs",12,113.85
2025-08,"Salted Caramel Latte",10,27.80
2025-08,"Smoked Pulled Lamb",6,157.40
2025-08,"Spanish Latte",28,283.00
2025-08,"Streaky Beef Pesto",8,126.75
2025-08,"Summer Lagoon",6,49.50
2025-08,"Unknown",36,70.50
2025-08,"Vanilla Latte",17,204.50
2025-08,"White Mocha",8,94.30
2025-09,"Almond Crepe Cake",81,1360.45
2025-09,"Almond Croissant",25,372.50
2025-09,"Berry Berries",45,415.80
2025-09,"Black",414,3503.00
2025-09,"Burnt Cheesecake",145,2429.35
2025-09,"Buttercream Chocolate",184,2558.25
2025-09,"Buttercream Latte",725,9984.71
2025-09,"Cappucino",147,1522.17
2025-09,"Caramel Latte",139,1551.80
2025-09,"Caramel Latte (Bottle)",6,77.40
2025-09,"Caramel Macchiato",180,2408.70
2025-09,"Chocolate",201,2200.75
2025-09,"Chocolate Cake Bars",41,610.90
2025-09,"Chocolate Mudslide",132,2209.90
2025-09,"Citrus Iced Lemon Tea",43,452.20
2025-09,"Citrus Mojito",32,227.70
2025-09,"Classic Croissant",30,293.00
2025-09,"Classic Latte (Bottle)",11,141.90
2025-09,"Dirty Latte",75,954.20
2025-09,"Doppio Freddo",113,1274.38
2025-09,"Earl Grey",25,236.70
2025-09,"Egg Sando",70,694.05
2025-09,"Espresso",17,117.30
2025-09,"Half Boiled Eggs",38,186.20
2025-09,"Hazelnut Latte",129,1530.32
2025-09,"Latte",850,9550.32
2025-09,"Matcha",256,3221.45
2025-09,"Matcha Batik Indulgence",25,422.50
2025-09,"Matcha Burnt Cheesecake",8,143.20
2025-09,"Matcha Cream Latte",293,4155.51
2025-09,"Mineral Water",63,189.00
2025-09,"Mini Biscoff (3 pcs)",3,41.70
2025-09,"Mini Choc Chip No Nuts (3 pcs)",17,236.30
2025-09,"Mini Double Choc (3 pcs)",15,208.50
2025-09,"Mini Hazelnut Seasalt (3 pcs)",7,97.30
2025-09,"Mini Matcha Macademia (3 pcs)",5,69.50
2025-09,"Mini Red Velvet (3 pcs)",13,173.75
2025-09,"Mint Chocolate",100,1238.00
2025-09,"Mint Matcha",67,847.90
2025-09,"Mocha",94,1119.41
2025-09,"Mocha (Bottle)",12,154.80
2025-09,"NYC Double Choc Dulcey",15,208.50
2025-09,"NYC Hazelut Seasalt",10,135.00
2025-09,"NYC Red Velvet Biscoff",11,152.90
2025-09,"NYC Smores",25,347.50
2025-09,"Peanut Butter Mocha",107,1503.35
2025-09,"Peppermint",35,307.05
2025-09,"Piccolo",113,1074.10
2025-09,"Red Velvet Cake",13,219.70
2025-09,"Roti Bakar Brioche",162,1107.48
2025-09,"Roti Bakar Brioche with Curry",5,31.05
2025-09,"Roti Bakar Brioche with Half Boiled Eggs",101,979.05
2025-09,"Salted Caramel Latte",194,2374.80
2025-09,"Salted Egg Croissant",45,490.50
2025-09,"Smoked Pulled Lamb",15,372.37
2025-09,"Spanish Latte",287,3408.99
2025-09,"Streaky Beef Pesto",85,1421.60
2025-09,"Summer Lagoon",40,336.60
2025-09,"Unknown",119,1571.42
2025-09,"Vanilla Latte",131,1564.80
2025-09,"White Mocha",53,633.40
2025-10,"Almond Crepe Cake",73,1233.70
2025-10,"Almond Croissant",53,805.70
2025-10,"Berry Berries",44,432.60
2025-10,"Black",405,3941.72
2025-10,"Burnt Cheesecake",124,2088.31
2025-10,"Buttercream Chocolate",174,2594.60
2025-10,"Buttercream Latte",625,9382.10
2025-10,"Cappucino",173,2121.37
2025-10,"Caramel Latte",175,2414.60
2025-10,"Caramel Latte (Bottle)",2,25.80
2025-10,"Caramel Macchiato",152,2259.31
2025-10,"Chocolate",202,2737.80
2025-10,"Chocolate (Bottle)",1,12.90
2025-10,"Chocolate Cake Bars",115,1773.91
2025-10,"Chocolate Mudslide",110,1864.31
2025-10,"Citrus Iced Lemon Tea",58,696.20
2025-10,"Citrus Mojito",25,247.50
2025-10,"Classic Croissant",86,861.40
2025-10,"Dirty Latte",55,770.50
2025-10,"Doppio Freddo",114,1551.80
2025-10,"Earl Grey",25,256.50
2025-10,"Ebi Sando",1,19.90
2025-10,"Egg Sando",71,728.90
2025-10,"Espresso",23,156.70
2025-10,"Half Boiled Eggs",31,151.90
2025-10,"Hazelnut Latte",147,1996.41
2025-10,"Latte",814,10331.82
2025-10,"Matcha",226,3169.51
2025-10,"Matcha Batik Indulgence",70,1183.00
2025-10,"Matcha Burnt Cheesecake",34,605.02
2025-10,"Matcha Cream Latte",252,3800.80
2025-10,"Mineral Water",86,258.00
2025-10,"Mini Biscoff (3 pcs)",5,71.50
2025-10,"Mini Choc Chip No Nuts (3 pcs)",14,196.60
2025-10,"Mini Double Choc (3 pcs)",5,69.50
2025-10,"Mini Hazelnut Seasalt (3 pcs)",10,149.00
2025-10,"Mini Matcha Macademia (3 pcs)",7,99.30
2025-10,"Mini Pavlova",74,656.82
2025-10,"Mini Red Velvet (3 pcs)",7,97.30
2025-10,"Mint Chocolate",77,1043.30
2025-10,"Mint Matcha",58,809.20
2025-10,"Mocha",86,1184.40
2025-10,"Mocha (Bottle)",2,25.80
2025-10,"NYC Double Choc Dulcey",23,316.71
2025-10,"NYC Hazelut Seasalt",19,272.10
2025-10,"NYC Red Velvet Biscoff",21,285.90
2025-10,"NYC Smores",21,297.90
2025-10,"Peanut Butter Mocha",86,1270.40
2025-10,"Peppermint",59,606.15
2025-10,"Piccolo",96,1062.40
2025-10,"Red Velvet Cake",9,152.10
2025-10,"Roti Bakar Brioche",169,1200.65
2025-10,"Roti Bakar Brioche with Curry",1,6.90
2025-10,"Roti Bakar Brioche with Half Boiled Eggs",118,1163.21
2025-10,"Salted Caramel Latte",194,2705.60
2025-10,"Salted Egg Croissant",50,543.00
2025-10,"Smoked Pulled Lamb",13,332.70
2025-10,"Spanish Latte",281,3933.90
2025-10,"Streaky Beef Pesto",61,1052.90
2025-10,"Summer Lagoon",50,495.00
2025-10,"Unknown",103,1496.70
2025-10,"Vanilla Latte",105,1464.50
2025-10,"White Mocha",39,532.15
2025-11,"Almond Crepe Cake",49,828.10
2025-11,"Almond Croissant",46,686.40
2025-11,"Berry Berries",51,498.96
2025-11,"Black",399,3825.28
2025-11,"Burnt Cheesecake",121,2045.07
2025-11,"Buttercream Chocolate",171,2556.41
2025-11,"Buttercream Latte",675,10146.13
2025-11,"Cappucino",188,2344.20
2025-11,"Caramel Latte",148,2039.20
2025-11,"Caramel Macchiato",142,2095.85
2025-11,"Chocolate",194,2607.63
2025-11,"Chocolate Cake Bars",118,1865.07
2025-11,"Chocolate Mudslide",128,2172.20
2025-11,"Citrus Iced Lemon Tea",44,514.19
2025-11,"Citrus Mojito",36,351.45
2025-11,"Classic Croissant",98,972.22
2025-11,"Dirty Latte",46,651.40
2025-11,"Doppio Freddo",94,1313.26
2025-11,"Earl Grey",40,400.00
2025-11,"Egg Sando",73,746.84
2025-11,"Espresso",31,213.90
2025-11,"Half Boiled Eggs",30,147.00
2025-11,"Hazelnut Latte",136,1859.40
2025-11,"Latte",816,10296.26
2025-11,"Matcha",181,2503.77
2025-11,"Matcha Batik Indulgence",57,963.30
2025-11,"Matcha Burnt Cheesecake",3,53.70
2025-11,"Matcha Cream Latte",282,4237.41
2025-11,"Mineral Water",83,249.00
2025-11,"Mini Biscoff (3 pcs)",1,13.90
2025-11,"Mini Choc Chip No Nuts (3 pcs)",8,105.20
2025-11,"Mini Double Choc (3 pcs)",14,198.60
2025-11,"Mini Hazelnut Seasalt (3 pcs)",9,133.10
2025-11,"Mini Matcha Macademia (3 pcs)",13,186.70
2025-11,"Mini Pavlova",96,849.95
2025-11,"Mini Red Velvet (3 pcs)",9,127.10
2025-11,"Mint Chocolate",85,1156.55
2025-11,"Mint Matcha",34,473.60
2025-11,"Mocha",82,1111.35
2025-11,"NYC Double Choc Dulcey",21,293.90
2025-11,"NYC Hazelut Seasalt",15,208.50
2025-11,"NYC Red Velvet Biscoff",17,229.35
2025-11,"NYC Smores",26,365.40
2025-11,"Peanut Butter Mocha",103,1511.72
2025-11,"Peppermint",61,627.90
2025-11,"Piccolo",95,1031.70
2025-11,"Red Velvet Cake",39,659.10
2025-11,"Roti Bakar Brioche",187,1336.71
2025-11,"Roti Bakar Brioche with Curry",1,8.90
2025-11,"Roti Bakar Brioche with Half Boiled Eggs",105,1027.70
2025-11,"Salted Caramel Latte",177,2444.30
2025-11,"Salted Egg Croissant",84,913.60
2025-11,"Smoked Pulled Lamb",15,396.50
2025-11,"Spanish Latte",324,4560.26
2025-11,"Streaky Beef Pesto",70,1238.55
2025-11,"Summer Lagoon",52,514.80
2025-11,"Unknown",133,1931.21
2025-11,"Vanilla Latte",103,1423.70
2025-11,"White Mocha",51,696.90
2025-12,"Almond Crepe Cake",101,1690.00
2025-12,"Almond Croissant",60,886.55
2025-12,"Berry Berries",43,420.75
2025-12,"Black",425,4096.85
2025-12,"Burnt Cheesecake",109,1834.10
2025-12,"Buttercream Chocolate",189,2803.73
2025-12,"Buttercream Latte",623,9350.43
2025-12,"Cappucino",169,2083.10
2025-12,"Caramel Latte",142,1948.01
2025-12,"Caramel Macchiato",137,2034.51
2025-12,"Chocolate",198,2671.64
2025-12,"Chocolate Cake Bars",117,1860.30
2025-12,"Chocolate Mudslide",128,2160.75
2025-12,"Citrus Iced Lemon Tea",67,786.35
2025-12,"Citrus Mojito",41,405.90
2025-12,"Classic Croissant",114,1132.60
2025-12,"Dirty Latte",60,835.61
2025-12,"Doppio Freddo",107,1484.08
2025-12,"Earl Grey",32,304.90
2025-12,"Egg Sando",64,669.60
2025-12,"Espresso",34,227.70
2025-12,"Half Boiled Eggs",27,129.85
2025-12,"Hazelnut Latte",124,1711.60
2025-12,"Latte",812,10340.02
2025-12,"Matcha",145,2016.50
2025-12,"Matcha Batik Indulgence",62,1047.80
2025-12,"Matcha Burnt Cheesecake",1,17.90
2025-12,"Matcha Cream Latte",229,3456.72
2025-12,"Mineral Water",104,309.00
2025-12,"Mini Biscoff (3 pcs)",8,117.20
2025-12,"Mini Choc Chip No Nuts (3 pcs)",7,87.40
2025-12,"Mini Double Choc (3 pcs)",10,141.00
2025-12,"Mini Hazelnut Seasalt (3 pcs)",7,97.30
2025-12,"Mini Matcha Macademia (3 pcs)",8,113.20
2025-12,"Mini Pavlova",67,595.23
2025-12,"Mini Red Velvet (3 pcs)",4,55.60
2025-12,"Mint Chocolate",91,1237.63
2025-12,"Mint Matcha",31,438.90
2025-12,"Mocha",101,1360.45
2025-12,"NYC Double Choc Dulcey",23,327.70
2025-12,"NYC Hazelut Seasalt",8,111.20
2025-12,"NYC Red Velvet Biscoff",18,254.20
2025-12,"NYC Smores",32,446.80
2025-12,"Peanut Butter Mocha",109,1614.16
2025-12,"Peppermint",63,652.61
2025-12,"Piccolo",122,1351.55
2025-12,"Roti Bakar Brioche",179,1263.80
2025-12,"Roti Bakar Brioche with Half Boiled Eggs",160,1551.43
2025-12,"Salted Caramel Latte",196,2709.27
2025-12,"Salted Egg Croissant",56,602.95
2025-12,"Smoked Pulled Lamb",32,847.85
2025-12,"Spanish Latte",247,3483.55
2025-12,"Streaky Beef Pesto",90,1539.59
2025-12,"Summer Lagoon",44,422.65
2025-12,"Unknown",160,1747.00
2025-12,"Vanilla Latte",114,1569.65
2025-12,"White Mocha",51,692.51
2026-01,"Affogato",21,259.29
2026-01,"Almond Crepe Cake",209,3495.76
2026-01,"Almond Croissant",204,2996.51
2026-01,"Amber Citrus",27,398.32
2026-01,"Beef Bolognese",89,1857.20
2026-01,"Berry Berries",137,1658.06
2026-01,"Bihun Kari",9,150.41
2026-01,"Bihun Kari Asam",3,50.70
2026-01,"Black",1159,11116.89
2026-01,"Burnt Cheesecake",283,4696.94
2026-01,"Buttercream Chocolate",294,4364.51
2026-01,"Buttercream Latte",1306,19234.93
2026-01,"Cappucino",426,5292.89
2026-01,"Caramel Latte",284,3850.73
2026-01,"Caramel Latte (Bottle)",9,105.78
2026-01,"Caramel Macchiato",372,5488.25
2026-01,"Chicken Tomyam Carbonara",127,3298.51
2026-01,"Chocolate",520,7023.57
2026-01,"Chocolate (Bottle)",5,58.05
2026-01,"Chocolate Cake Bars",258,4028.23
2026-01,"Chocolate Freddo",58,823.48
2026-01,"Chocolate Mudslide",261,4436.97
2026-01,"Citrus Iced Lemon Tea",182,2316.99
2026-01,"Citrus Mojito",81,871.71
2026-01,"Classic Croissant",236,2282.13
2026-01,"Classic Fries",105,1454.66
2026-01,"Classic Latte (Bottle)",11,135.45
2026-01,"Cloudy Matcha",69,993.83
2026-01,"Crispy Prawn Creamy Carbonara",56,1520.60
2026-01,"Dirty Latte",215,2969.15
2026-01,"Doppio Freddo",288,3965.25
2026-01,"Earl Grey",112,1151.79
2026-01,"Ebi Sando",22,479.56
2026-01,"Egg Sando",210,2001.28
2026-01,"Espresso",56,368.81
2026-01,"Half Boiled Eggs",117,550.27
2026-01,"Hazelnut Latte",293,4062.13
2026-01,"Iced Water",218,610.87
2026-01,"Korean Crispy Chicken",65,1162.26
2026-01,"Korean Spicy Fries",46,680.60
2026-01,"Latte",2234,28071.20
2026-01,"Loaded Fries",45,797.24
2026-01,"Matcha",363,5046.14
2026-01,"Matcha (Bottle)",1,12.90
2026-01,"Matcha Affogato",16,205.11
2026-01,"Matcha Batik Indulgence",161,2693.83
2026-01,"Matcha Burnt Cheesecake",27,472.30
2026-01,"Matcha Cream Latte",419,6319.50
2026-01,"Mee Kari",43,686.01
2026-01,"Mee Kari Asam",4,67.60
2026-01,"Mineral Water",245,721.00
2026-01,"Mini Biscoff (3 pcs)",30,402.90
2026-01,"Mini Choc Chip No Nuts (3 pcs)",76,988.16
2026-01,"Mini Double Choc (3 pcs)",49,689.15
2026-01,"Mini Hazelnut Seasalt (3 pcs)",39,552.89
2026-01,"Mini Matcha Macademia (3 pcs)",31,435.58
2026-01,"Mini Pavlova",251,2182.64
2026-01,"Mini Red Velvet (3 pcs)",71,973.32
2026-01,"Mint Chocolate",174,2372.62
2026-01,"Mint Matcha",74,1036.38
2026-01,"Mocha",258,3479.58
2026-01,"Mocha (Bottle)",5,54.18
2026-01,"Mont Blanc",116,1598.79
2026-01,"Nasi Lemak 2 Sambal",196,1607.86
2026-01,"Nasi Lemak 2 Sambal + Ayam Crispy",260,4161.17
2026-01,"Nasi Lemak 2 Sambal + Ayam Grilled",61,1024.86
2026-01,"Nasi Lemak 2 Sambal + Sambal Udang",36,603.89
2026-01,"Nasi Lemak 2 Sambal + Udang Crispy",21,329.41
2026-01,"NYC Double Choc Dulcey",74,1026.42
2026-01,"NYC Hazelut Seasalt",64,903.45
2026-01,"NYC Red Velvet Biscoff",69,910.57
2026-01,"NYC Smores",94,1316.89
2026-01,"Peanut Butter Mocha",207,3040.48
2026-01,"Peppermint",57,608.55
2026-01,"Piccolo",214,2195.35
2026-01,"Pomegranate Iced Tea",77,1060.40
2026-01,"Roti Bakar Brioche",400,2860.54
2026-01,"Roti Bakar Brioche with Curry",37,233.02
2026-01,"Roti Bakar Brioche with Half Boiled Eggs",303,2937.31
2026-01,"Salted Caramel Latte",310,4235.48
2026-01,"Salted Egg Croissant",156,1670.16
2026-01,"Samyang Pasta",21,388.13
2026-01,"Smoked Duck Aglio Olio",155,4197.10
2026-01,"Smoked Pulled Lamb",78,2001.62
2026-01,"Spanish Latte",534,7506.78
2026-01,"Strawberry Matcha",214,3326.06
2026-01,"Streaky Beef Pesto",192,3256.50
2026-01,"Summer Lagoon",100,1043.85
2026-01,"Truffle Fries",110,1625.01
2026-01,"Truffle Mac n Cheese",88,1757.27
2026-01,"Unknown",127,1304.96
2026-01,"Vanilla Latte",242,3340.03
2026-01,"White Mocha",146,1979.56
2026-02,"Affogato",15,180.60
2026-02,"Almond Crepe Cake",245,4110.08
2026-02,"Almond Croissant",176,2615.38
2026-02,"Amber Citrus",43,592.48
2026-02,"Beef Bolognese",104,2075.52
2026-02,"Berry Berries",123,1704.41
2026-02,"Bihun Kari",13,224.70
2026-02,"Bihun Kari Asam",6,98.87
2026-02,"Black",995,9541.04
2026-02,"Burnt Cheesecake",246,4144.91
2026-02,"Buttercream Chocolate",362,5341.10
2026-02,"Buttercream Latte",1274,19085.77
2026-02,"Buttermilk Chicken",19,333.52
2026-02,"Cappucino",389,4884.56
2026-02,"Caramel Latte",252,3373.98
2026-02,"Caramel Latte (Bottle)",11,141.90
2026-02,"Caramel Macchiato",335,4949.32
2026-02,"Chicken Chop",37,694.51
2026-02,"Chicken Tomyam Carbonara",182,5076.24
2026-02,"Chocolate",552,7452.94
2026-02,"Chocolate Cake Bars",301,4763.64
2026-02,"Chocolate Freddo",130,1910.73
2026-02,"Chocolate Mudslide",372,6321.52
2026-02,"Citrus Iced Lemon Tea",162,2182.87
2026-02,"Citrus Mojito",44,515.27
2026-02,"Classic Croissant",256,2535.82
2026-02,"Classic Fries",109,1496.43
2026-02,"Classic Latte (Bottle)",8,103.20
2026-02,"Cloudy Matcha",175,2534.49
2026-02,"Colek",77,1923.42
2026-02,"Crispy Prawn Creamy Carbonara",74,2047.67
2026-02,"Dirty Latte",298,4101.60
2026-02,"Doppio Freddo",249,3457.96
2026-02,"Earl Grey",81,895.57
2026-02,"Ebi Sando",38,820.85
2026-02,"Egg Sando",141,1443.46
2026-02,"Espresso",75,501.77
2026-02,"FreeFlow Drinks",73,2353.82
2026-02,"Half Boiled Eggs",54,255.78
2026-02,"Hazelnut Latte",277,3790.50
2026-02,"Iced Water",660,1871.63
2026-02,"Korean Crispy Chicken",97,1890.27
2026-02,"Korean Spicy Fries",63,977.83
2026-02,"Latte",2293,29040.81
2026-02,"Loaded Fries",58,1027.19
2026-02,"Matcha",470,6603.30
